GEOID,AFFGEOID,ALAND,AWATER,BLKGRPCE,COUNTYFP,GEOID,LSAD,NAME,STATEFP,TRACTCE,geometry
370210011002,1500000US370210011002,1484617,4954,2,021,370210011002,BG,2,37,001100,"POLYGON ((-82.60924799999999 35.565, -82.60533699999999 35.567327, -82.60556699999999 35.568696, -82.602711 35.5719, -82.60265799999999 35.571956, -82.600235 35.57449, -82.59958 35.575676, -82.596187 35.578284, -82.594312 35.578471, -82.59268399999999 35.577693, -82.59160299999999 35.577456, -82.591639 35.568624, -82.59204699999999 35.565133, -82.594326 35.564962, -82.593901 35.563896, -82.597145 35.562859, -82.59722099999999 35.562836, -82.5973 35.562928, -82.60020299999999 35.563154, -82.60163899999999 35.564709, -82.602627 35.567323, -82.603126 35.567537, -82.607461 35.565135, -82.60924799999999 35.565))"
370210006001,1500000US370210006001,834792,0,1,021,370210006001,BG,1,37,000600,"POLYGON ((-82.546239 35.607128, -82.546159 35.607955, -82.54146299999999 35.607369, -82.54015799999999 35.608348, -82.537981 35.611054, -82.536582 35.60984699999999, -82.537088 35.609712, -82.537487 35.60910000000001, -82.53666199999999 35.6046, -82.537206 35.603498, -82.53690499999999 35.603121, -82.537308 35.59943, -82.53824 35.599568, -82.54577399999999 35.600402, -82.546905 35.600354, -82.546239 35.607128))"
370210022062,1500000US370210022062,2997310,0,2,021,370210022062,BG,2,37,002206,"POLYGON ((-82.52176399999999 35.489282, -82.520826 35.495751, -82.519488 35.498245, -82.518947 35.499072, -82.51280899999999 35.496424, -82.50514199999999 35.49356, -82.504818 35.493386, -82.50251299999999 35.49165199999999, -82.49532499999999 35.486251, -82.505804 35.48302, -82.51784599999999 35.480818, -82.52053099999999 35.480157, -82.521682 35.480082, -82.52220699999999 35.485679, -82.52176399999999 35.489282))"
370210026053,1500000US370210026053,2816233,0,3,021,370210026053,BG,3,37,002605,"POLYGON ((-82.678259 35.626557, -82.67702799999999 35.628757, -82.67572899999999 35.629598, -82.671741 35.629492, -82.666962 35.630825, -82.66647399999999 35.627466, -82.665679 35.626204, -82.66469699999999 35.625431, -82.657022 35.622471, -82.654106 35.62067, -82.65503 35.619094, -82.65742999999999 35.616291, -82.658131 35.614472, -82.65786899999999 35.612515, -82.659199 35.612185, -82.665649 35.613394, -82.66869299999999 35.61266, -82.669016 35.610226, -82.670525 35.60563399999999, -82.674735 35.605671, -82.67922899999999 35.606383, -82.678832 35.608239, -82.676987 35.611431, -82.674813 35.611586, -82.67339899999999 35.613322, -82.670029 35.615463, -82.668097 35.621015, -82.673339 35.622959, -82.67612799999999 35.624797, -82.68068099999999 35.625418, -82.678259 35.626557))"
370210026064,1500000US370210026064,1573972,0,4,021,370210026064,BG,4,37,002606,"POLYGON ((-82.64962199999999 35.61982, -82.646925 35.619474, -82.644018 35.620436, -82.641688 35.624334, -82.64009899999999 35.625133, -82.634929 35.624324, -82.634686 35.625366, -82.63290000000001 35.622372, -82.632429 35.617047, -82.63300099999999 35.615691, -82.632555 35.61342, -82.634624 35.6138, -82.636781 35.613744, -82.64217599999999 35.612488, -82.64456199999999 35.612692, -82.64593699999999 35.613281, -82.651082 35.61721199999999, -82.64962199999999 35.61982))"
370210032032,1500000US370210032032,4945206,0,2,021,370210032032,BG,2,37,003203,"POLYGON ((-82.43918699999999 35.517881, -82.43614699999999 35.52084, -82.43244299999999 35.521088, -82.428916 35.52294699999999, -82.424536 35.522558, -82.424122 35.523645, -82.421809 35.523704, -82.421601 35.523982, -82.419065 35.522824, -82.412403 35.524051, -82.406514 35.523482, -82.405451 35.52317, -82.404043 35.51944, -82.40252 35.517817, -82.40401899999999 35.515727, -82.409842 35.515535, -82.410167 35.511507, -82.413787 35.507528, -82.41425199999999 35.507199, -82.415041 35.506829, -82.418724 35.506199, -82.42271099999999 35.499491, -82.424887 35.497304, -82.42630199999999 35.49975, -82.42832799999999 35.501544, -82.429839 35.507798, -82.431264 35.510639, -82.434168 35.512469, -82.435243 35.514046, -82.43615699999999 35.517382, -82.437078 35.518234, -82.43918699999999 35.517881))"
370210027022,1500000US370210027022,3495202,21518,2,021,370210027022,BG,2,37,002702,"POLYGON ((-82.573695 35.703308, -82.572665 35.704441, -82.571692 35.705335, -82.56983799999999 35.706724, -82.568298 35.707712, -82.566176 35.709282, -82.563875 35.711568, -82.562934 35.71162, -82.56085499999999 35.711743, -82.56054999999999 35.702736, -82.556888 35.703165, -82.55494399999999 35.701355, -82.549121 35.700517, -82.548638 35.700215, -82.54936499999999 35.698943, -82.550079 35.692535, -82.550809 35.690218, -82.552651 35.688025, -82.55390299999999 35.689239, -82.554244 35.689483, -82.55451099999999 35.689638, -82.5549 35.689828, -82.55521999999999 35.689944, -82.55645899999999 35.690223, -82.557649 35.69021, -82.559387 35.689706, -82.560058 35.689297, -82.56278999999999 35.686692, -82.562443 35.685588, -82.56254199999999 35.68486499999999, -82.564252 35.685261, -82.565021 35.686601, -82.57160499999999 35.688687, -82.5702 35.690247, -82.57099199999999 35.691453, -82.570257 35.69233699999999, -82.570376 35.694935, -82.568032 35.69857, -82.567769 35.699629, -82.566002 35.699553, -82.56925799999999 35.701868, -82.573172 35.703077, -82.573695 35.703308))"
370210028041,1500000US370210028041,11192060,0,1,021,370210028041,BG,1,37,002804,"POLYGON ((-82.58083099999999 35.772907, -82.57986099999999 35.774968, -82.572394 35.777969, -82.541021 35.790737, -82.539874 35.791506, -82.538505 35.791799, -82.539334 35.785383, -82.53862599999999 35.783166, -82.536738 35.78176699999999, -82.536681 35.780915, -82.53507599999999 35.780052, -82.53461399999999 35.778647, -82.53240199999999 35.778185, -82.529037 35.775204, -82.526714 35.774533, -82.52626099999999 35.774203, -82.525431 35.773781, -82.52312499999999 35.774284, -82.52166099999999 35.77411, -82.517927 35.770419, -82.51903299999999 35.770122, -82.52192699999999 35.76747, -82.524214 35.766187, -82.52661999999999 35.764879, -82.53037599999999 35.762775, -82.533125 35.76023, -82.539579 35.758909, -82.546263 35.758672, -82.549758 35.760143, -82.55475299999999 35.760584, -82.557435 35.7604, -82.559293 35.760769, -82.560542 35.760275, -82.561246 35.758781, -82.56478899999999 35.758819, -82.56617399999999 35.760238, -82.56676999999999 35.762024, -82.568062 35.762001, -82.57029299999999 35.763546, -82.57140699999999 35.765085, -82.571344 35.766664, -82.57208299999999 35.767611, -82.57266799999999 35.77006799999999, -82.57381699999999 35.771096, -82.57441899999999 35.773083, -82.576706 35.773194, -82.579275 35.771708, -82.580997 35.771547, -82.58083099999999 35.772907))"
370210020004,1500000US370210020004,1181903,0,4,021,370210020004,BG,4,37,002000,"POLYGON ((-82.53806899999999 35.556962, -82.538506 35.558423, -82.53381999999999 35.557542, -82.524569 35.55673, -82.524047 35.555195, -82.52540599999999 35.549164, -82.525482 35.548419, -82.530265 35.548596, -82.53446799999999 35.547122, -82.534958 35.548289, -82.53867 35.553096, -82.53806899999999 35.556962))"
370210025031,1500000US370210025031,7439819,0,1,021,370210025031,BG,1,37,002503,"POLYGON ((-82.76612399999999 35.538987, -82.766003 35.540702, -82.762182 35.540865, -82.750213 35.542576, -82.747508 35.543927, -82.74260699999999 35.548507, -82.740488 35.549483, -82.73652899999999 35.550067, -82.73325199999999 35.550847, -82.727519 35.552635, -82.72239399999999 35.553259, -82.721103 35.551479, -82.71755899999999 35.5491, -82.71407599999999 35.548356, -82.714772 35.545293, -82.716337 35.54399799999999, -82.71347399999999 35.542564, -82.70961899999999 35.541738, -82.705198 35.539916, -82.70224 35.539663, -82.69632799999999 35.538224, -82.69443699999999 35.535823, -82.69760199999999 35.535152, -82.70112 35.535311, -82.711849 35.534655, -82.71803299999999 35.535988, -82.72011599999999 35.535816, -82.730086 35.533386, -82.732795 35.533187, -82.73943899999999 35.534751, -82.74141 35.534872, -82.745025 35.534067, -82.754217 35.533935, -82.755459 35.534074, -82.766587 35.537937, -82.76612399999999 35.538987))"
